id,word,definition,length,releaseDate
15755,zevat,"kişiler, zatlar",5,2027-03-17
15756,fisto,dantele benzer süsleri olan bir kumaş türü,5,2027-03-17
15757,ödüncü,"ödün veren, tavizci, tavizkâr",6,2027-03-17
15758,sarpın,"tahıl kuyusu, zahire ambarı, silo",6,2027-03-17
15759,esassız,"doğru olmayan, yalan",7,2027-03-17
15760,jeoloji,yer bilimi,7,2027-03-17
15761,kefillik,kefalet,8,2027-03-17
15762,ipeğimsi,i̇peksi,8,2027-03-17
15763,ivesi,"genellikle güneydoğu anadolu'da yetiştirilen, başı kahverengi, kirli sarı veya siyah olan, vücudu beyaz, yapağısı kaba ve karışık olan, süt verimi yüksek bir tür koyun",5,2027-03-18
15764,soket,kısa çorap,5,2027-03-18
15765,minnet,"yapılan bir iyiliğe karşı kendini borçlu sayma, gönül borcu",6,2027-03-18
15766,mızrak,"uzun saplı, sivri demir uçlu silah",6,2027-03-18
15767,hırtlık,"sersemlik, budalalık, ahmaklık",7,2027-03-18
15768,kocamak,"yaşı ilerlemek, yaşlanmak, ihtiyarlamak",7,2027-03-18
15769,striptiz,"genellikle gece kulüplerinde, pavyonlarda genç bir kadın oyuncunun müzik eşliğinde dans edip soyunarak yaptığı gösteri",8,2027-03-18
15770,hücumbot,"görevi saldırmak olan, torpidolarla donatılmış, keşif ve karakol görevlerini de yapan, çok hızlı, küçük savaş gemisi",8,2027-03-18
15771,açlık,aç olma durumu,5,2027-03-19
15772,tekst,metin,5,2027-03-19
15773,korner,köşe atışı,6,2027-03-19
15774,söylem,"kalıplaşmış, klişeleşmiş söz, ifade",6,2027-03-19
15775,morumsu,"mora çalan, moru andıran",7,2027-03-19
15776,izcilik,"i̇zci olma durumu, keşşaflık",7,2027-03-19
15777,sapıklık,sapıkça davranış,8,2027-03-19
15778,taraksız,tarağı olmayan,8,2027-03-19
15779,canan,"gönülden sevilen, gönül verilmiş olan kadın, sevgili",5,2027-03-20
15780,gamze,"yan bakış, göz süzme, sitemli bakma",5,2027-03-20
15781,italik,eğik yazı,6,2027-03-20
15782,şişmek,"gururlanmak, büyüklenmek",6,2027-03-20
15783,eksilen,çıkarma işleminde kendisinden çıkarma yapılan sayı,7,2027-03-20
15784,rivayet,"bir olay, bir haber veya sözü nakletme",7,2027-03-20
15785,diktatör,bütün siyasi yetkileri kendinde toplamış bulunan kimse,8,2027-03-20
15786,finansal,mali,8,2027-03-20
15787,koğuş,"kışla, okul, tutukevi, hastane vb. kalabalık yerlerde, içinde birçok kimsenin yattığı veya barındığı büyük oda",5,2027-03-21
15788,apsis,"yönlü bir eksen üzerinde bir noktanın, başlangıç noktasına olan uzaklığının cebirsel değeri",5,2027-03-21
15789,ısırık,isırılan yerde kalan iz,6,2027-03-21
15790,tümsek,"çıkıntılı yer, kabarıklık, şişkinlik",6,2027-03-21
15791,ameliye,uygulama,7,2027-03-21
15792,taharet,"temizlik, temiz olma",7,2027-03-21
15793,kadınana,"deneyimli, yaşlı, saygı gösterilen kadın",8,2027-03-21
15794,mürdümük,"otsu bölümü hayvan yemi olarak kullanılan, beyaz, açık mavi veya mor çiçekleri olan bir yıllık otsu bitki, akburçak (lathyrus sativus)",8,2027-03-21
15795,çinko,bu elementten yapılmış,5,2027-03-22
15796,tepik,tekme,5,2027-03-22
15797,çileci,"çile (i) çeken, sıkıntı sahibi",6,2027-03-22
15798,rüşvet,yaptırılmak istenen bir işte yasa dışı kolaylık ve çabukluk sağlanması için bir kimseye mal veya para olarak sağlanan çıkar,6,2027-03-22
15799,geçiniz,bilgi yarışmalarında kendisinden sonraki yarışmacıya geçilmesini istemek için veya bir sonraki soruya geçmek için söylenen bir söz,7,2027-03-22
15800,birader,"`ey dost, arkadaş` anlamında kullanılan bir seslenme sözü",7,2027-03-22
15801,müşahhas,somut,8,2027-03-22
15802,katlediş,katletme işi,8,2027-03-22
15803,uymak,"bağlı kalmak, tabi olmak",5,2027-03-23
15804,yarda,"91,4 santimetrelik i̇ngiliz uzunluk ölçüsü birimi",5,2027-03-23
15805,kolyoz,"uskumrugillerden, uzunluğu 30-35 santimetre olan, akdeniz ve karadeniz'de yaşayan bir tür balık (scomber colias)",6,2027-03-23
15806,öğreti,belli bir görüşe dayalı çalışma anlayışının bütünü,6,2027-03-23
15807,pilotaj,bir hava taşıtını yönetme,7,2027-03-23
15808,tagaddi,beslenme,7,2027-03-23
15809,tarafgir,"bir tarafı kayıran, bir tarafı tutan",8,2027-03-23
15810,tekerlek,bu biçimde olan,8,2027-03-23
15811,kalfa,mimar yardımcısı,5,2027-03-24
15812,kurye,düzenli olarak ticari bir hizmet gören taşıt,5,2027-03-24
15813,rüçhan,üstünlük,6,2027-03-24
15814,kurada,"i̇şe yaramaz, yıpranmış, eskimiş, bozulmuş (eşya)",6,2027-03-24
15815,yeraltı,"alışılmışın dışında olan, aykırı",7,2027-03-24
15816,tercüme,çeviri,7,2027-03-24
15817,santrhaf,futbolda orta alanın ortasında yer alan oyuncu,8,2027-03-24
15818,bakınmak,muayene olmak,8,2027-03-24
15819,ahlaf,"bizden sonrakiler, eslaf karşıtı",5,2027-03-25
15820,mukus,solunum yolları ve sindirim organlarının hücreleri tarafından salgılanan madde,5,2027-03-25
15821,cumhur,topluluk,6,2027-03-25
15822,sadece,yalnızca,6,2027-03-25
15823,oturmak,"benimsenmek, yerleşmek, kökleşmek",7,2027-03-25
15824,işleyim,sanayi,7,2027-03-25
15825,ciddiyet,ağırbaşlılık,8,2027-03-25
15826,kredisiz,"güvenilmeyen, itibarsız",8,2027-03-25
15827,havza,"dağ veya tepelerle sınırlanmış, suları aynı denize, göle veya ırmağa akan bölge",5,2027-03-26
15828,çoban,koyun ve keçi sürülerini otlatan kimse,5,2027-03-26
15829,baskın,ansızın çıkagelme,6,2027-03-26
15830,binaen,dayanarak,6,2027-03-26
15831,toraman,i̇ri yapılı (genç),7,2027-03-26
15832,harmani,"bütün vücudu saran, kolsuz ve bazen kukuletalı bir tür üst giysisi",7,2027-03-26
15833,kuvarsit,kum taşı,8,2027-03-26
15834,temerküz,bir yerde toplanma,8,2027-03-26
15835,ballı,şanslı,5,2027-03-27
15836,start,"343 çıkış, başlama",5,2027-03-27
15837,sürgit,i̇lelebet,6,2027-03-27
15838,mesire,"gezilecek, piknik yapılacak yer.",6,2027-03-27
15839,halveti,i̇badetlerini ıssız yerlerde yapan bir tarikat,7,2027-03-27
15840,cevaben,"cevap olarak, karşılık olarak",7,2027-03-27
15841,sahipsiz,"kimsenin malı olmayan, iyesiz",8,2027-03-27
15842,turistik,turizmle ilgili olan,8,2027-03-27
15843,ayvaz,savaş gemilerinde çalışan cerrah yardımcısı,5,2027-03-28
15844,kerti,"bayat (ekmek, et)",5,2027-03-28
15845,yummak,"kısarak kapamak, sıkarak kapalı duruma getirmek",6,2027-03-28
15846,düstur,genel kural,6,2027-03-28
15847,kumlama,"oyma işlerinde, çukurda kalan yüzeyleri özel dişli araçlarla pürüzlü duruma getirme",7,2027-03-28
15848,ısınmak,sıcak duruma gelmek,7,2027-03-28
15849,mutlakçı,saltçı,8,2027-03-28
15850,ittirmek,i̇tmesini sağlamak,8,2027-03-28
15851,donör,verici,5,2027-03-29
15852,havuç,"maydanozgillerden, koni biçimindeki etli kökü için sebze olarak yetiştirilen, iki yıllık otsu bir kültür bitkisi, yeregeçen (daucus carota)",5,2027-03-29
15853,somaki,"kızıl veya yeşil renkte, damarlı ve çok sert bir porfir türü mermer",6,2027-03-29
15854,tabela,"üzerinde tanıtıcı, belirtici bir yazı, açıklama, işaret veya resim bulunan, tahta veya sac parçası, levha",6,2027-03-29
15855,teminat,güvence,7,2027-03-29
15856,ürküntü,"ürkme duygusu, tevahhuş",7,2027-03-29
15857,primitif,i̇lkel,8,2027-03-29
15858,fantazya,"arap atlılarının bayramlarda yaptıkları gösteri, atlı gösteri",8,2027-03-29
15859,hepsi,"bütünü, tamamı, tümü, cümlesi",5,2027-03-30
15860,likit,sıvı,5,2027-03-30
15861,gerdel,"gemilerde temizlik işlerinde kullanılan, saç veya pirinç çemberli tahta kova",6,2027-03-30
15862,ozonlu,bileşiminde ozon bulunan,6,2027-03-30
15863,sivilce,"i̇çinde irin bulunan küçük deri kabarcığı, en küçük çıban",7,2027-03-30
15864,etçilik,kasaplık,7,2027-03-30
15865,ebediyet,sonsuzluk,8,2027-03-30
15866,fiiliyat,"i̇ş olarak yapılanlar, edim, edimler, işler, gerçekleştirilen işler",8,2027-03-30
15867,anime,"japon çizgi romanı mangaların televizyon, sinema vb. için filmleştirilmiş biçimi",5,2027-03-31
15868,misis,evlenmiş kadın,5,2027-03-31
15869,kokart,belli bir topluluğa özgü olan işaret,6,2027-03-31
15870,namına,"adına, kendisine",6,2027-03-31
15871,radikal,kökten,7,2027-03-31
15872,mürteci,"yeni düzene karşı direnen (kimse), gerici",7,2027-03-31
15873,lahmacun,"üstüne kıyma, kıyılmış soğan, maydanoz ve baharat konularak fırında pişirilen pide türü bir yiyecek",8,2027-03-31
15874,istibdat,"uyruklarına hiçbir hak ve özgürlük tanımayan sınırsız monarşi, despotluk, despotizm",8,2027-03-31
15875,tuzlu,"yapılışında tuz bulunan, tuzu çok olan",5,2027-04-01
15876,ölmüş,"ölen, ölü olan",5,2027-04-01
15877,enfiye,"kurutulmuş tütünden yapılan ve burna çekilen keyif verici, aksırtıcı toz, burun otu",6,2027-04-01
15878,mezhep,"anlayış, görüş",6,2027-04-01
15879,örneğin,söz gelişi,7,2027-04-01
15880,nörolog,sinir hastalıkları uzmanı,7,2027-04-01
15881,kerpeten,"çivi sökmeye veya diş çekmeye yarayan, hareketli bir eksen çevresinde çapraz iki parçadan oluşmuş, kıskaç biçimindeki araç",8,2027-04-01
15882,nallamak,hayvanın ayağına nal çakmak,8,2027-04-01
15883,kasır,köşk,5,2027-04-02
15884,zehir,"büyük üzüntü, acı, keder, sıkıntı",5,2027-04-02
15885,fersah,yaklaşık 5 kilometrelik bir uzaklık ölçüsü,6,2027-04-02
15886,sövmek,"onur kırıcı, çoğu basmakalıp kaba sözler söylemek, küfretmek",6,2027-04-02
15887,arşivci,belgelikçi,7,2027-04-02
15888,gökyüzü,atmosferin gözle görünen bölümü,7,2027-04-02
15889,resmiyet,resmîlik,8,2027-04-02
15890,istihbar,öğrenme,8,2027-04-02
15891,salaş,"uyumsuz, derme çatma, kötü görünen",5,2027-04-03
15892,sıkım,ateşli silahlarda bir atış için yeterli olan miktar,5,2027-04-03
15893,dehliz,"üstü kapalı, dar ve uzun geçit",6,2027-04-03
15894,füzyon,"birleşme, kaynaşma",6,2027-04-03
15895,evcimen,"evine, ailesine çok bağlı (kimse)",7,2027-04-03
15896,entrika,"bir işi sağlamak veya bozmak için girişilen gizli çalışma, oyun, dolap, düzen, dalavere, desise, hile, dek (ii)",7,2027-04-03
15897,boklamak,bir yeri veya bir işi kötü bir duruma getirmek,8,2027-04-03
15898,bekleyiş,bekleme işi,8,2027-04-03
15899,çimen,kendiliğinden yetişmiş çim,5,2027-04-04
15900,türüm,"bütün var olanların tanrı'dan, ondan hiçbir şey eksiltmeksizin çıkması",5,2027-04-04
15901,postal,genellikle askerlerin giydiği konçlu ve kaba potin,6,2027-04-04
15902,bigudi,"kadınların saçlarını kıvırmak için kullandıkları, metal, sünger veya plastikten, boru biçiminde küçük araç, sarmaç",6,2027-04-04
15903,tamzara,bu oyunun müziği,7,2027-04-04
15904,diploma,"bir kimseye herhangi bir okulu veya öğrenim programını başarıyla tamamladığını, bir derece veya unvanı kullanmaya hak kazandığını, bir iş, sanat veya meslek dalında çalışabilme yetkisi elde ettiğini belirtmek için bir öğretim kurumu tarafından düzenlenip verilen resmî belge, icazetname, şehadetname",7,2027-04-04
15905,söylence,efsane,8,2027-04-04
15906,kurabiye,"un, yağ, badem, fıstık vb. ile yapılan, şekerli küçük çörek",8,2027-04-04
15907,batur,bahadır,5,2027-04-05
15908,berri,karasal,5,2027-04-05
15909,patron,"bir ticaret veya sanayi kurumunun sahibi, başı, işvereni",6,2027-04-05
15910,çeltik,kabuğu ayıklanmamış pirinç,6,2027-04-05
15911,efektif,merkez bankası tarafından alım satımı yapılan ve türk lirası olarak kurları belirlenen yabancı ülke parası,7,2027-04-05
15912,pavurya,bir cins iri yengeç,7,2027-04-05
15913,devinmek,"vücudu oynatmak veya kıpırdatmak, kımıldanmak, hareket etmek",8,2027-04-05
15914,telepati,"birinin düşündüklerini veya uzakta geçen bir olayı hiçbir bağlantı olmadan algılama, uza duyum",8,2027-04-05
15915,oktav,"sekiz sesten oluşan ses dizisi, bir do sesiyle ondan sonraki do sesi arasındaki uzaklık",5,2027-04-06
15916,nodul,hayvanın yürüyüşünü hızlandırmak için üvendirenin veya kısa bir sopanın ucuna çakılmış sivri demir çivi,5,2027-04-06
15917,kaknem,"çirkin, huysuz",6,2027-04-06
15918,alemci,"camilerin kubbelerine, minarelerine alem yapan veya takan kimse",6,2027-04-06
15919,detaylı,ayrıntılı,7,2027-04-06
15920,karışım,"i̇ki veya daha çok maddenin kimyasal tepkimeye girmeden bir araya gelmesi, mahlut",7,2027-04-06
15921,hedonizm,hazcılık,8,2027-04-06
15922,şevkefza,klasik türk müziğinde iii. selim tarafından düzenlenmiş bir birleşik makam,8,2027-04-06
15923,tarak,suda yaşayan hayvanlarda solungaç,5,2027-04-07
15924,çiroz,çok zayıf (kimse),5,2027-04-07
15925,görece,"bir şeye göre olan, varlığı başka bir şeyin varlığına bağlı olan, kesin olmayıp kişiden kişiye, zamandan zamana, yerden yere değişebilen, bağıl",6,2027-04-07
15926,kavlak,yer altı boşluklarının tavan ve yan duvarlarında bulunan gevşemiş veya düşebilir kaya parçası,6,2027-04-07
15927,filvaki,"gerçekte, gerçekten, her ne kadar, vakıa",7,2027-04-07
15928,seçenek,"birinin yerine seçilebilecek bir başka yol, yöntem, tutum, alternatif, opsiyon",7,2027-04-07
15929,örtüşmek,"i̇ki görüş, düşünce, sözcük, cümle birbiriyle tam olarak uyuşmak",8,2027-04-07
15930,sübyancı,"ergenlik çağına girmemiş çocuklara karşı cinsel ilgi duyan kimse, pedofil",8,2027-04-07
15931,burgu,"tıpa çekmeye yarayan, ucu sivri ve helis biçiminde demir alet, tirbuşon",5,2027-04-08
15932,yığış,yığma işi,5,2027-04-08
15933,sadist,"başkalarına acı çektirmekten zevk duyan (kimse), elezer",6,2027-04-08
15934,neşide,bir toplulukta okunmaya değer şiir,6,2027-04-08
15935,karakuş,kartal türünden kuşlara verilen ad,7,2027-04-08
15936,avrovil,avrupa birliği dışındaki ülkeler tarafından çıkarılan ve tutulan avroya dayalı borç senedi,7,2027-04-08
15937,şenlikli,eğlenceli (yer),8,2027-04-08
15938,teçhizat,"silah dışındaki savaş gereçleri, donatı",8,2027-04-08
15939,kısım,kol,5,2027-04-09
15940,zloti,polonya para birimi,5,2027-04-09
15941,şartlı,"şarta bağlı, koşullu, meşrut",6,2027-04-09
15942,yastık,"yapılarda, makinelerde bazı bölümlerin üzerine dayandığı parça",6,2027-04-09
15943,tapyoka,manyok kökünden çıkarılan nişasta,7,2027-04-09
15944,tafracı,"böbürlenen, yüksekten atan kimse",7,2027-04-09
15945,kahpecik,"oynak, kırıtkan",8,2027-04-09
15946,sunulmak,sunma işine konu olmak veya sunma işi yapılmak,8,2027-04-09
15947,tadil,değişiklik,5,2027-04-10
15948,yolak,patika,5,2027-04-10
15949,losyon,"deri ve saç bakımında kullanılan alkollü veya alkolsüz, kokulu sıvı",6,2027-04-10
15950,nispet,oran,6,2027-04-10
15951,hesaplı,"ölçülü davranan, ölçülü",7,2027-04-10
15952,gravyer,"i̇sviçre'de yapılan bir tür sarı, yağlı peynir",7,2027-04-10
15953,astronot,uzay adamı,8,2027-04-10
15954,getirmek,gelmesini sağlamak,8,2027-04-10
15955,banyo,film ve fotoğraf kâğıdını bu sıvıya batırma,5,2027-04-11
15956,maket,"mimarlıkta, sanayide ve bazı sanat dallarında yer alan eserlerin taslak durumundaki küçük örneği",5,2027-04-11
15957,milyon,bu sayının adı,6,2027-04-11
15958,römork,başka bir taşıt tarafından çekilen motorsuz taşıt,6,2027-04-11
15959,müdavim,"bir yere sürekli olarak giden (kimse), gedikli",7,2027-04-11
15960,gemilik,tersane,7,2027-04-11
15961,pisipisi,"halk oyunu oynarken giyilen, üzeri tüylü özel ayakkabı",8,2027-04-11
15962,dominant,baskın,8,2027-04-11
15963,bidon,"i̇çine çeşitli maddeler konulan, sac, plastik veya çinkodan yapılmış kap",5,2027-04-12
15964,üstel,üstü olan,5,2027-04-12
15965,armalı,arma bulunan,6,2027-04-12
15966,süzmek,"bazı sıvıların yoğunlaşmasına yol açan, katı ve tortulu maddeleri bu sıvılardan ayırmak",6,2027-04-12
15967,avcılar,i̇stanbul iline bağlı ilçelerden biri,7,2027-04-12
15968,kokarca,"etoburlardan, orta boyda, kendini korumak için düşmanına kötü kokulu sıvı fışkırtan, ince, uzun bir kürk hayvanı (mustela putorius)",7,2027-04-12
15969,istihkak,hak ediş,8,2027-04-12
15970,dağcılık,"dağa tırmanma sporu, alpinizm",8,2027-04-12
15971,ricat,"gerileme, geri çekilme, geri kaçma",5,2027-04-13
15972,miyar,"ölçüt, ölçü",5,2027-04-13
15973,kentet,beşli,6,2027-04-13
15974,metris,askerin çarpışma sırasında korunması için yapılan toprak siper,6,2027-04-13
15975,anarşik,kargaşalı,7,2027-04-13
15976,ondalık,"temel olarak on sayısını alan, aşar, aşari",7,2027-04-13
15977,epikerem,önertilerinin biri veya her ikisi kanıtıyla birlikte ileri sürülen tasım,8,2027-04-13
15978,pliyosen,üçüncü çağın en son dönemi,8,2027-04-13
15979,şuara,şairler,5,2027-04-14
15980,önlem,"kötü veya yanlış bir şeyi önleyecek yol, tedbir",5,2027-04-14
15981,karmak,toz durumundaki bir şeyi sıvı ile karıştırarak çamur veya hamur durumuna getirmek,6,2027-04-14
15982,terzil,küçük düşürme,6,2027-04-14
15983,örtmece,"söylenmesi kaba, çirkin veya sakıncalı görülen nesnelerin, kavramların, başka kelimelerle daha uygun ve edepli bir biçimde anlatılması, edebikelam",7,2027-04-14
15984,onurluk,"bir başarıyı veya durumu ödüllendirmek amacıyla verilen türlü biçimlerde levha, plaket",7,2027-04-14
15985,otomotiv,motorlu taşıt yapımıyla uğraşan endüstri kolu,8,2027-04-14
15986,görkemli,"büyüklüğü, görünüşü ve güzelliğiyle görenleri etkileyen, gösterişli, debdebeli, haşmetli, ihtişamlı, muhteşem, şaşaalı, şatafatlı, tantanalı, anıtsal",8,2027-04-14
15987,yayan,yürüyerek giden,5,2027-04-15
15988,rafya,bu liflerden yapılan,5,2027-04-15
15989,iyonik,"i̇yonlardan oluşan, iyonlarla ilgili",6,2027-04-15
15990,nedime,"hanım sultanın, yüksek makamda bulunan kadınların yardımcısı olan hanım",6,2027-04-15
15991,satranç,i̇ki kişi arasında altmış dört kareli bir tahta üzerinde değerleri ve adları değişik siyah ve beyaz on altışar taşla oynanan bir oyun,7,2027-04-15
15992,yavuklu,sevgili,7,2027-04-15
15993,ödleklik,ödlekçe davranış,8,2027-04-15
15994,boşanmak,kapalı bir yerde bulunan insanlar birden dışarı çıkmak,8,2027-04-15
15995,fırka,i̇nsan topluluğu,5,2027-04-16
15996,vezne,banka vb. kurum ve kuruluşlarda para alınıp verilen yer,5,2027-04-16
15997,bağlam,bent,6,2027-04-16
15998,portre,"bir kimsenin yağlı boya, sulu boya, kara kalem vb. bir yolla yapılmış resmi",6,2027-04-16
15999,feribot,arabalı vapur,7,2027-04-16
16000,keneler,"eklem bacaklı hayvanlardan, örümceğimsiler sınıfına giren bir takım",7,2027-04-16
16001,genellik,genel düşüncenin veya kavramın özelliği,8,2027-04-16
16002,kaçırmak,kaçmasını sağlamak veya kaçmasına imkân yaratmak,8,2027-04-16
16003,ajans,"haber toplama, yayma ve üyelerine dağıtma işiyle uğraşan kuruluş",5,2027-04-17
16004,harbi,"temiz, hilesiz",5,2027-04-17
16005,onarlı,her biri on birimden oluşan,6,2027-04-17
16006,şehevi,erotik,6,2027-04-17
16007,imgesel,i̇mge ile ilgili,7,2027-04-17
16008,hilebaz,hileci,7,2027-04-17
16009,aydıncık,kendini aydın sanan kimse,8,2027-04-17
16010,zerzevat,"küçük, önemsiz nesneler",8,2027-04-17
16011,jilet,"i̇nce çelikten yapılmış, iki yanı keskin tıraş bıçağı",5,2027-04-18
16012,kadük,"değerini, önemini yitirmiş, geçerliliği kalmamış, eskimiş",5,2027-04-18
16013,samimi,"i̇çli dışlı, senli benli olarak",6,2027-04-18
16014,tenkil,uzaklaştırma,6,2027-04-18
16015,çırpmak,bir şeyin ucundan bir parça kesmek,7,2027-04-18
16016,kumluca,antalya iline bağlı ilçelerden biri,7,2027-04-18
16017,mızıkacı,bandocu,8,2027-04-18
16018,daüssıla,yurt özlemi,8,2027-04-18
16019,mamur,bayındır,5,2027-04-19
16020,bilar,katranlı kıldan yapılan ve kalafat işlerinde kullanılan bir macun türü,5,2027-04-19
16021,inhina,"birine baş eğme, yumuşaklık gösterme",6,2027-04-19
16022,itiyat,alışkanlık,6,2027-04-19
16023,laklaka,"gereksiz, anlamsız, boş söz",7,2027-04-19
16024,kaskatı,"acımasız, hoşgörüsüz",7,2027-04-19
16025,idaresiz,"i̇dare etmesini bilmeyen, gevşek, beceriksiz (kimse)",8,2027-04-19
16026,meşakkat,güçlük,8,2027-04-19
16027,havut,deve semeri,5,2027-04-20
16028,yazın,"yaz mevsiminde, yaz aylarında",5,2027-04-20
16029,korona,güneş tacı,6,2027-04-20
16030,çinici,çini yapan veya satan kimse,6,2027-04-20
16031,nagehan,ansızın,7,2027-04-20
16032,devrisi,"bir sonraki, ertesi (gün, hafta, ay, yıl)",7,2027-04-20
16033,optimizm,i̇yimserlik,8,2027-04-20
16034,kromozom,"karyokinez bölünme sırasında hücre çekirdeğinin içinde beliren ve kromatinin parçalara ayrılmasıyla oluşan, canlılarda bazı özelliklerin bireyden bireye aktarılmasında görevli olan, dna içeren, kıvrık çubuk biçimindeki kalıtımsal yapı",8,2027-04-20
16035,tıraş,erkek saçını belli bir biçim vererek kesme,5,2027-04-21
16036,esvap,giysi,5,2027-04-21
16037,kılsız,kılı olmayan,6,2027-04-21
16038,horhor,gür ve ses çıkararak akan su,6,2027-04-21
16039,ocaklık,"bir yapının temelini veya çatısını oluşturan büyük kereste, temel direği",7,2027-04-21
16040,tarumar,"dağınık, karışık, perişan",7,2027-04-21
16041,kaşınmak,"kaşıntısı olmak, kaşıma isteği duymak",8,2027-04-21
16042,konsolit,vadesi belli olmayan ve yalnızca faizi ödenen devlet tahvili,8,2027-04-21
16043,avans,oyunda zayıf tarafa önceden verilen geçici üstünlük,5,2027-04-22
16044,itmek,"bir cisim, belli bir yakınlıktaki başka bir cismi kendisinden uzaklaşmaya zorlamak, çekmek karşıtı",5,2027-04-22
16045,gensel,genlerden gelen,6,2027-04-22
16046,tahsil,"parayı alma, toplama",6,2027-04-22
16047,misafir,gözün saydam tabakasında herhangi bir sebeple oluşan beyaz leke,7,2027-04-22
16048,ataerki,soyda temel olarak babayı alan ve ailede çocukları baba soyuna mal eden topluluk düzeni,7,2027-04-22
16049,hapislik,hapiste bulunma durumu veya süresi,8,2027-04-22
16050,tenezzüh,gezinti,8,2027-04-22
16051,gömme,"mayalı, mayasız, yağlı veya yağsız olarak yapılan bir tür kül pidesi",5,2027-04-23
16052,mantı,i̇çine kıyma konularak küçük bohçalar biçiminde dürülen hamur parçaları,5,2027-04-23
16053,gezici,halka yardım amacıyla hizmet götüren,6,2027-04-23
16054,yarpuz,"ballıbabagillerden, çiçekleri birbirinden ayrı halka durumunda, nane türünden, kısa saplı, az veya çok tüylü, güzel kokulu bir bitki (mentha pulegium)",6,2027-04-23
16055,yükümlü,"bir şeyi yapma zorunluluğu olan, memur, mükellef",7,2027-04-23
16056,intihal,aşırma,7,2027-04-23
16057,mağfiret,bağışlama,8,2027-04-23
16058,keskinci,kalabalık yerlerde cepleri jiletle keserek hırsızlık yapan kimse,8,2027-04-23
16059,verit,toplardamar,5,2027-04-24
16060,yarar,"bir işten elde edilen iyi sonuç, fayda, avantaj",5,2027-04-24
16061,slogan,"kimlik, topluluk, örgüt, kurum veya kuruluşun amaç ve araçlarını özlü bir biçimde tanımlayan deyiş veya söz",6,2027-04-24
16062,plakçı,"plak hazırlayan, yapan veya satan kimse",6,2027-04-24
16063,katalog,"kitaplıktaki kitapları veya belli bir daldaki gereçleri, nitelikleri bakımından tanıtmak, arandıklarında bulunmalarını sağlamak amacıyla, yer numaraları belirtilerek hazırlanmış kitap, defter veya fişten oluşan bütün, fihrist",7,2027-04-24
16064,hıyaban,i̇ki tarafı düzgün ağaçlı yol veya bulvar,7,2027-04-24
16065,kaşkaval,"aptal, sersem",8,2027-04-24
16066,kemalist,atatürkçü,8,2027-04-24
16067,sallı,"büyük ve geniş, sal gibi yayvan",5,2027-04-25
16068,kapuz,i̇çine girilmeyen sık orman,5,2027-04-25
16069,çırçır,pamuğu çekirdeğinden ayırmaya yarayan alet,6,2027-04-25
16070,karpuz,kadın memesi,6,2027-04-25
16071,istiare,"ödünç, borç veya eğreti alma, ödünçleme",7,2027-04-25
16072,tardiye,beş dizelik bentlerden oluşan nazım parçası,7,2027-04-25
16073,hacimsiz,"hacmi olmayan, oylumsuz",8,2027-04-25
16074,demograf,nüfus bilimci,8,2027-04-25
16075,zihaf,"aruzla yazılmış şiirlerde uzun bir ünlünün ölçü gereğince kısa okunması, imale karşıtı",5,2027-04-26
16076,yakut,"pembe veya erguvan tonları ile karışık koyu kırmızı renkte, saydam bir korindon türü olan değerli taş",5,2027-04-26
16077,şişkin,"şişmiş, şişirilmiş",6,2027-04-26
16078,perlit,"erimiş sodyum, potasyum, alüminyum silikattan ibaret olan cam gibi bir volkanik kayadan patlatılarak pudra hâline getirilmiş bulunan, hazır sıva, hafif levha yapımında, izolasyon işinde, yem maddelerinin preslenmesinde kullanılan yardımcı bir madde",6,2027-04-26
16079,yıkımcı,yapıları yıkma işini yapan kimse,7,2027-04-26
16080,homolog,bir başkasının tam olarak yerini tutan,7,2027-04-26
16081,sarkıntı,"aşağı doğru uzanan, sarkan şey",8,2027-04-26
16082,cazibeli,"önemli, ağırlığı olan",8,2027-04-26
16083,doyma,"bir sıvının içinde belli bir cisimden eriyebilecek en çok miktarın erimiş bulunması, işba",5,2027-04-27
16084,küncü,susam tanesi,5,2027-04-27
16085,tortop,"bütünüyle top biçiminde, yusyuvarlak (olan)",6,2027-04-27
16086,kuaför,kadın berberi,6,2027-04-27
16087,meyhane,kabare,7,2027-04-27
16088,testere,"ağaç, demir vb. şeyleri kesmeye yarayan, genellikle üçgen biçiminde dişleri olan, dar ve uzunca çelik araç",7,2027-04-27
16089,muvaşşah,akrostiş,8,2027-04-27
16090,zilhicce,"ay takviminin on ikinci ayı, kurban ayı",8,2027-04-27
16091,ifade,tanık ve sanıkların olay hakkında yargı organlarına yaptıkları sözlü açıklama,5,2027-04-28
16092,ersiz,kocasız,5,2027-04-28
16093,ardiye,böyle bir yerde saklanılan eşya için ödenen ücret,6,2027-04-28
16094,otoman,sedir biçiminde kanepe,6,2027-04-28
16095,simyacı,alşimist,7,2027-04-28
16096,düalist,i̇kici,7,2027-04-28
16097,edebiyat,"olay, düşünce, duygu ve hayallerin dil aracılığıyla sözlü veya yazılı olarak biçimlendirilmesi sanatı, yazın (ii), gökçe yazın",8,2027-04-28
16098,kazaklık,"karısına söz geçirme, dediğini yaptırma durumu",8,2027-04-28
16099,piyes,oyun,5,2027-04-29
16100,kayar,hayvanların eskiyen nallarının çivilerini değiştirme işlemi,5,2027-04-29
16101,tahlis,kurtarma,6,2027-04-29
